Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Agricultural land (% of land area),AG.LND.AGRI.ZS,Afghanistan,AFG,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0691112949177,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,58.0675795729559,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Albania,ALB,39.3065693430657,40.8759124087591,40.8394160583942,43.1021897810219,43.8430674754792,43.8430674754792,43.8321167883212,43.8430674754792,43.3321185703697,42.8573006957117,42.8576660156252,43.1277354442292,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Algeria,DZA,17.3028962019364,17.2903003686381,17.3201105074441,17.344042590711,17.3738527295171,17.3713335628574,17.3772116183966,17.3814905935367,17.3955346196478,17.3952656461243,17.4059294622839,17.3655391515237,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,American Samoa,ASM,25,25,24.0000009536743,24.0000009536743,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,24.5000004768372,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Andorra,AND,46.3829771001287,46.3404269928628,44.1914903356675,44.17021325294,44.1914903356675,42.0638307611994,42.0638307611994,39.9148941040038,40.0212754594519,40.0212754594519,40.0212754594519,39.9574482694585,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Angola,AGO,46.1939520333681,46.1939520333681,46.274163792412,46.274163792412,46.7554343466752,46.8356461057191,47.3169166599824,47.3169166599824,47.4773401780701,47.4773401780701,47.4773401780701,47.4773401780701,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Antigua and Barbuda,ATG,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,20.4545454545455,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Argentina,ARG,50.3518849412977,51.5600963207378,52.6303673415696,52.7136796641198,52.5423047550143,53.8902835176801,54.1826074564529,54.5381464469852,54.5180491761946,54.3357121193851,54.3357121193851,54.3357121193851,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Armenia,ARM,56.3751317175975,61.6930110436972,61.534949926732,61.426064237026,61.3382525053786,60.9413417632596,59.6452397466084,59.1148577449947,59.1148577449947,59.0340692368065,58.8935704661707,58.8970863655824,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Aruba,ABW,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Australia,AUS,57.9447561277222,56.6139046900017,55.3804199263241,54.3181078583237,53.2430391939914,51.8828996524478,53.326815374302,52.7802871535868,51.6271575569816,52.883771787095,47.6306574853885,48.2419442487149,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Austria,AUT,34.5943333595075,34.4308555198369,34.2718419505612,34.0211674876038,33.8467880804453,33.6583071859326,33.3971267218863,33.1322506692471,32.9136934111166,32.8902247302037,32.9417255251407,32.3566761396415,..,..,..,..
Agricultural land (% of land area),AG.LND.AGRI.ZS,Azerbaijan,AZE,57.5683534678956,57.5529107735272,57.5645327323161,57.568350331905,57.5790914311967,57.6703449230822,57.6919391709462,57.6870952280192,57.704540089756,57.7005468953326,57.7017519009259,57.7355751784202,..,..,..,..
