Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Albania,ALB,10.613104915093,10.8725435042618,10.6450026520391,10.2653762962461,9.79317318999137,9.64962086437085,9.35801794740151,10.3482651897703,8.68356032352784,9.36138129984292,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Algeria,DZA,0.220170895330589,0.185661473731877,0.193757741609473,0.124867585413646,0.131573818286975,0.129209960023392,0.0384885706880085,0.0338734063998156,0.0460743428290084,0.0115999631371208,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Angola,AGO,52.6887768108622,49.1068083975425,47.0465791388203,44.3839712761767,41.696725522281,40.5679040247869,39.8485014052602,37.0352955733151,37.7135905127166,36.376106609643,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Argentina,ARG,2.42015814699264,2.88457022526824,2.81254288584446,2.18800884305091,2.30632335282017,2.62673454422533,2.95439936551872,3.14409721409036,2.97226898403076,3.24500433015725,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Armenia,ARM,0.328860951762284,0.525445655615007,0.298824402018195,0.282982847597708,0.324793005283586,0.340447672177967,0.311316085621866,0.285363898723252,0.293101444958059,1.14528520427114,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Australia,AUS,2.84867343044752,2.76565143381297,2.81485640586589,2.76542956272868,2.85449612223031,3.24640458145436,3.08702046554842,3.14619292407119,3.38080317055106,3.30501186119135,3.33011010796237,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Austria,AUT,9.0769300764722,9.96273821144691,11.0316585022914,11.696340251408,12.7165069382309,13.4052176849339,13.3140209945013,13.5081422037144,14.5485031009873,13.7863117632391,14.1425049057928,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Azerbaijan,AZE,0.186212027887862,0.181367643072348,0.725881464347758,0.641493932464313,0.61374994565267,0.777480873927344,0.768805833278734,0.718053576259431,0.694879260297814,0.595701819956022,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Bangladesh,BGD,35.71434870117,33.7771526408169,32.7237392561547,31.5295415968889,30.3033365153276,28.2991958769394,27.6017849535636,26.6198500635199,26.3864594070457,25.5764034152313,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,Belarus,BLR,3.6154062261657,3.7412379929521,3.84222183963766,3.84412282677375,4.08247000397358,4.32753696060021,4.25518056214298,4.14597777851005,4.46470239775571,4.01400918111703,..,..,..,..,..,..
