Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Albania,ALB,66.4866805505628,64.4559899021893,65.1223924710814,63.8471757910902,63.4217264005157,63.2390037485134,61.5027652749324,57.7540817221547,56.3953388128232,61.4218013942638,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Algeria,DZA,99.6103138329027,99.7400186289448,99.7520839062203,99.8211363460024,99.8106194648149,99.8478347914606,99.8874756325738,99.8589173711226,99.9103649953028,99.9779167201605,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Angola,AGO,27.0837714677975,31.6746743551437,34.7424758172093,37.9607595728901,41.7993312438043,42.9925150346511,43.8497838995534,48.0100597690859,46.5085539184957,48.3055930097329,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Antigua and Barbuda,ATG,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Argentina,ARG,89.0532841465512,88.653227962763,89.2253784916497,90.6517893541905,89.6119931478185,89.503243212831,88.8538111244916,89.0249070672489,88.9660644106576,87.7224074796892,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Armenia,ARM,68.0984178691466,67.4958082381311,70.5525640010011,73.2861329083986,68.205458300287,67.4011084886,71.549929885755,77.3329432877543,75.4928438218553,74.5618657137382,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Australia,AUS,94.2158521823241,94.2831654466102,94.293103951311,94.3514882269806,95.5100585349929,94.4247422153125,94.421655861136,94.3770061151001,93.70804882449,93.386835655426,89.6256301102374,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Austria,AUT,77.0304294299819,74.6983342403424,72.6297785377108,71.5548631026855,69.8365077164139,70.2670570317288,69.1541833994512,67.3025067863473,66.2538035085394,64.8131564661468,65.6618219894727,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Azerbaijan,AZE,97.1165437641463,97.6056206360843,97.764698530017,98.3024770701215,97.9165307110792,96.9324916140822,97.8625715488742,98.4767015665508,98.2112327190642,98.3659900265556,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,"Bahamas, The",BHS,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Bahrain,BHR,..,..,97.8317719489417,..,99.7824484296435,..,98.78594550788,..,..,99.3658471741274,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Bangladesh,BGD,63.3403529134445,65.3308779541877,66.4171254531215,67.5800380220186,69.0060269775615,70.969404481067,71.6488390867616,72.6837803852608,72.8616719317204,73.7689379450086,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Barbados,BRB,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Belarus,BLR,92.6726429250754,92.5839339124781,92.341801762508,93.1867718536784,91.7790718102573,91.9955359666712,91.3924705961574,91.0472704631043,90.6720403103935,92.4403750165292,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Belgium,BEL,74.7639489844314,73.9425114862405,72.6665499302844,73.3936320880596,72.6400231167136,72.7936170372105,70.2544959262826,71.1157141124069,70.820305796114,72.6525048356486,75.8707843536824,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Belize,BLZ,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Benin,BEN,31.0497602314262,36.3254111857721,39.6692503365258,39.0758613914131,39.8016789157276,41.5541857358705,39.4308677774566,36.1727707383108,36.4750688056578,36.7245813253448,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Bhutan,BTN,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..
Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,Bolivia,BOL,83.2741378211675,85.9585275210356,82.0478658632133,82.6045009456111,80.9594174797321,82.320428678723,82.995621325459,83.5255730340785,84.1808992754079,84.1532899868775,..,..,..,..,..,..
