Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.763,64.13,64.486,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,73.072,73.521,73.936,74.311,74.644,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,50.165,51.143,52.177,53.243,54.311,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,60.782,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,75.019,75.204,75.376,75.535,75.683,75.823,75.956,76.087,76.218,76.349,76.483,76.617,76.752,76.885,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,74.451,74.62,74.787,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,76.52,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,72.626,72.716,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,74.945,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,74.287,74.429,74.576,74.725,74.872,75.017,75.158,75.299,75.441,75.583,75.725,75.868,76.01,76.152,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,80.8414634146341,81.0414634146342,81.2926829268293,81.3951219512195,81.5439024390244,81.6951219512195,81.8951219512195,82.0463414634146,82.1487804878049,82.3,82.4,82.4487804878049,82.5,82.7487804878049,..,..
