Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Afghanistan,AFG,..,..,..,..,..,..,31.4488506317139,..,..,..,..,..,..,43.019718170166,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Albania,ALB,..,..,..,95.9386367797852,..,..,96.8452987670898,97.2469711303711,..,..,..,..,..,98.1411514282227,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Algeria,DZA,..,72.648681640625,..,75.1360473632813,..,..,..,..,..,..,..,..,..,81.4078369140625,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,66.0301132202148,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,98.9499969482422,..,..,..,98.9499969482422,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Argentina,ARG,..,98.6108016967773,..,..,98.9834213256836,98.9549713134766,99.1083297729492,99.1052322387695,99.1219482421875,98.9938888549805,99.1799621582031,99.1250076293945,..,99.0038681030273,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Armenia,ARM,..,..,..,..,..,..,99.7444076538086,..,..,..,..,..,99.7360687255859,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Aruba,ABW,..,..,..,..,..,96.822639465332,..,..,..,..,..,..,..,97.8074188232422,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Azerbaijan,AZE,..,..,99.5931930541992,..,99.7598419189453,99.7711410522461,99.7786331176758,99.7757720947266,99.7893600463867,99.7889862060547,99.7880630493164,99.7900619506836,99.7912292480469,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bahrain,BHR,..,..,..,..,..,90.9774017333984,..,..,..,..,..,97.0666809082031,97.4038925170898,97.4641876220703,..,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Bangladesh,BGD,..,..,46.6636009216309,..,..,..,58.7691802978516,57.8607482910156,61.0155410766602,61.0932998657227,65.1373291015625,72.7587203979492,72.8929672241211,73.9122009277344,74.6844635009766,..
"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,Barbados,BRB,..,..,..,..,..,..,..,..,..,99.5999984741211,..,..,..,..,..,..
