Series Name,Series Code,Country Name,Country Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Afghanistan,AFG,74.0618101545254,70.7557502738226,72,68.6548223350254,87.1766029246344,85.9865470852018,82.4875621890547,85.9099804305284,78.6364080993837,85.3235490326885,86.0501112508465,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Albania,ALB,98.713944515892,98.3164373642288,97.4825174825175,100,99.9807766243752,99.9867864693446,98.5922214268671,100,100,100,100,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Algeria,DZA,1.63644405130473,0.618861068528928,0.607592214216582,0.703350233621632,0.794784551050622,0.380460926225565,0.980009370607528,1.08368033172465,0.55101018533979,0.395379969490365,0.322683798947644,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,American Samoa,ASM,0,0,0,0,0,0,0,0.70242656449553,0.703140481075933,0.700882474752302,0.885478158205431,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Andorra,AND,98.8235294117647,94.5945945945946,75,80.0508259212198,76.5432098765432,88.7311446317657,86.5131578947369,86.6894197952219,88.7532693984307,89.4321766561514,86.1167002012072,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Angola,AGO,79.6482412060302,80.6110102843315,77.6188995958968,75.4090471607315,65.3431890179514,67.9574233804368,70.9078039285082,60.7994842037395,58.0209347614411,53.1751054852321,53.1749283080705,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Antigua and Barbuda,ATG,0,0,0,0,0,1.49476831091181,1.49700598802395,0,0,0,0,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Argentina,ARG,33.5251348456266,37.127698397103,29.8422008099427,26.3437057991513,28.9274026197721,28.5854562001549,32.305970437266,29.2611353196635,31.4844907174391,31.5762041956827,28.1400691239471,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Armenia,ARM,28.0671204685769,30.7187342198283,31.4682943370634,31.1785095320624,35.6727208605184,39.4854413803728,33.5397039030956,28.9447486311598,28.2360570687419,25.7548387096774,28.3369662777279,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Aruba,ABW,0,0,0,0,0,11.3273771537971,12.101020956475,14.9152542372881,14.9121861868333,15.0992799476326,14.8561614426793,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Australia,AUS,8.80370663945662,9.2993077726263,8.64807246716794,8.11525755637195,7.49793425905399,8.61187962842023,10.4266522781963,10.5926533603071,13.2641083883167,14.9067122095833,13.6378410946741,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Austria,AUT,63.6267774900368,65.5155251581415,68.6870289567632,69.2308884377567,71.1396947946197,66.2113227544381,65.6314234326824,74.5291806141755,78.0247869868319,81.0568683458842,76.4907792691417,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Azerbaijan,AZE,13.1558237145855,10.2595444729658,10.8207076486474,10.3128032158204,12.2429510281959,18.4233030464992,13.1861633980487,7.92152427353402,6.67123404984157,5.62924619864122,7.0398574206092,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,"Bahamas, The",BHS,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Bangladesh,BGD,2.83207925284531,2.53631776776946,2.41573939687147,2.77631655853644,1.12166124216586,1.78720274577102,1.9749507394741,1.60001647378609,1.94653614457831,1.31972423672665,1.2268899018827,..,..,..,..,..
Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,Barbados,BRB,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..
